Country,Races Hosted,Total Points,Total Wins,Champions,Population
Afghanistan,0,0,0,0,38928341
Albania,0,0,0,0,2877800
Algeria,0,0,0,0,43851043
Andorra,0,0,0,0,77265
Angola,0,0,0,0,32866268
Antigua and Barbuda,0,0,0,0,97928
Argentina,20,2402.9,38,5,45195777
Armenia,0,0,0,0,2963234
Australia,37,4470.3,43,4,25499881
Austria,38,0,41,4,9006400
Azerbaijan,6,0,0,0,10139175
Bahamas,0,0,0,0,393248
Bahrain,20,0,0,0,1701583
Bangladesh,0,0,0,0,164689383
Barbados,0,0,0,0,287371
Belarus,0,0,0,0,9449321
Belgium,68,1686,11,0,11589616
Belize,0,0,0,0,397621
Benin,0,0,0,0,12123198
Bhutan,0,0,0,0,771612
Bolivia,0,0,0,0,11673029
Bosnia and Herzegovina,0,0,0,0,3280815
Botswana,0,0,0,0,2351625
Brazil,49,9262.5,101,8,212559409
Brunei,0,0,0,0,437479
Bulgaria,0,0,0,0,6948445
Burkina Faso,0,0,0,0,20903278
Burma,0,0,0,0,54409800
Burundi,0,0,0,0,11890781
Cabo Verde,0,0,0,0,548800
Cambodia,0,0,0,0,16718971
Cameroon,0,0,0,0,26545864
Canada,52,1529,17,1,37742157
Central African Republic,0,0,0,0,4829764
Chad,0,0,0,0,16425859
Chile,0,22,0,0,19116209
China,16,10,0,0,1439323774
Colombia,0,838,7,0,50882884
Comoros,0,0,0,0,869595
Congo (Kinshasa),0,0,0,0,5518092
Costa Rica,0,0,0,0,5094114
Cote d'Ivoire,0,0,0,0,25070000
Croatia,0,0,0,0,4105268
Cuba,0,0,0,0,11326616
Cyprus,0,0,0,0,875899
Czechia,0,0,0,0,10708982
Denmark,0,209,0,0,5792203
Djibouti,0,0,0,0,988002
Dominica,0,0,0,0,71991
Dominican Republic,0,0,0,0,10847904
Ecuador,0,0,0,0,17643060
Egypt,0,0,0,0,102334403
El Salvador,0,0,0,0,6486201
Equatorial Guinea,0,0,0,0,1402985
Eritrea,0,0,0,0,3546427
Estonia,0,0,0,0,1326539
Eswatini,0,0,0,0,1160164
Ethiopia,0,0,0,0,114963583
Fiji,0,0,0,0,896444
Finland,0,7288,57,4,5540718
France,62,10881,81,4,65273512
Gabon,0,0,0,0,2225728
Gambia,0,0,0,0,2416664
Georgia,0,0,0,0,3989175
Germany,67,13599.7,179,12,83783945
Ghana,0,0,0,0,31072945
Greece,0,0,0,0,10423056
Grenada,0,0,0,0,112519
Guatemala,0,0,0,0,17915567
Guinea,0,0,0,0,13132792
Guinea-Bissau,0,0,0,0,1874000
Guyana,0,0,0,0,786559
Haiti,0,0,0,0,11402533
Holy See,0,0,0,0,809
Honduras,0,0,0,0,9904608
Hungary,38,7,0,0,9660350
Iceland,0,0,0,0,341250
India,3,12,0,0,1380004385
Indonesia,0,0,0,0,273523621
Iran,0,0,0,0,83992953
Iraq,0,0,0,0,40222503
Ireland,0,123,0,0,4937796
Israel,0,0,0,0,8655541
Italy,105,8530.2,43,3,60461828
Jamaica,0,0,0,0,2961161
Japan,38,728,0,0,126476458
Jordan,0,0,0,0,10203140
Kazakhstan,0,0,0,0,18776707
Kenya,0,0,0,0,53771300
"Korea, South",4,0,0,0,51640000
Kosovo,0,0,0,0,1932774
Kuwait,0,0,0,0,4270563
Kyrgyzstan,0,0,0,0,6524191
Laos,0,0,0,0,7275556
Latvia,0,0,0,0,1886202
Lebanon,0,0,0,0,6825442
Lesotho,0,0,0,0,2142252
Liberia,0,0,0,0,5057677
Libya,0,0,0,0,6871287
Liechtenstein,0,4,0,0,38137
Lithuania,0,0,0,0,2722291
Luxembourg,0,0,0,0,625976
Madagascar,0,0,0,0,27691019
Malawi,0,0,0,0,19129955
Malaysia,19,7,0,0,32365998
Maldives,0,0,0,0,540542
Mali,0,0,0,0,20250834
Malta,0,0,0,0,441539
Mauritania,0,0,0,0,4649660
Mauritius,0,0,0,0,1271767
Mexico,22,1831,8,0,128932753
Moldova,0,0,0,0,4033963
Monaco,69,1053,5,0,39244
Mongolia,0,0,0,0,3278292
Montenegro,0,0,0,0,628062
Morocco,1,0,0,0,36910558
Mozambique,0,0,0,0,31255435
Namibia,0,0,0,0,2540916
Nepal,0,0,0,0,29136808
Netherlands,33,2639.5,47,2,17134873
New Zealand,0,2188.5,12,1,4822233
Nicaragua,0,0,0,0,6624554
Niger,0,0,0,0,24206636
Nigeria,0,0,0,0,206139587
North Macedonia,0,0,0,0,2083380
Norway,0,0,0,0,5421242
Oman,0,0,0,0,5106622
Pakistan,0,0,0,0,220892331
Panama,0,0,0,0,4314768
Papua New Guinea,0,0,0,0,8947027
Paraguay,0,0,0,0,7132530
Peru,0,0,0,0,32971846
Philippines,0,0,0,0,109581085
Poland,0,490,1,0,37846605
Portugal,18,46,0,0,10196707
Qatar,1,0,0,0,2881060
Romania,0,0,0,0,19237682
Russia,8,268,0,0,145934460
Rwanda,0,0,0,0,12952209
Saint Kitts and Nevis,0,0,0,0,53192
Saint Lucia,0,0,0,0,183629
Saint Vincent and the Grenadines,0,0,0,0,110947
San Marino,0,0,0,0,33938
Sao Tome and Principe,0,0,0,0,219161
Saudi Arabia,3,0,0,0,34813867
Senegal,0,0,0,0,16743930
Serbia,0,0,0,0,6804596
Seychelles,0,0,0,0,98340
Sierra Leone,0,0,0,0,7976985
Singapore,14,0,0,0,5850343
Slovakia,0,0,0,0,5459643
Slovenia,0,0,0,0,2078932
Somalia,0,0,0,0,15893219
South Africa,23,1047,10,1,59308690
South Sudan,0,0,0,0,11193729
Spain,53,4307,34,2,46754783
Sri Lanka,0,0,0,0,21413250
Sudan,0,0,0,0,43849269
Suriname,0,0,0,0,586634
Sweden,6,1648,12,0,10099270
Switzerland,0,1566.5,7,0,8654618
Syria,0,0,0,0,17500657
Taiwan,0,0,0,0,23816775
Tajikistan,0,0,0,0,9537642
Tanzania,0,0,0,0,56320000
Thailand,0,279,0,0,69799978
Timor-Leste,0,0,0,0,1268000
Togo,0,0,0,0,8278737
Trinidad and Tobago,0,0,0,0,1399491
Tunisia,0,0,0,0,11818618
Turkey,9,0,0,0,84339067
Uganda,0,0,0,0,45741000
Ukraine,0,0,0,0,43733759
United Arab Emirates,14,0,0,0,9890400
United Kingdom,74,23589.8,309,20,67886004
Uruguay,0,4,0,0,3473727
United States of America,73,4308.3,33,2,331002647
Uzbekistan,0,0,0,0,33469199
Venezuela,0,87,1,0,28435943
Vietnam,0,0,0,0,97338583
West Bank and Gaza,0,0,0,0,4430000
Western Sahara,0,0,0,0,597330
Yemen,0,0,0,0,29825968
Zambia,0,0,0,0,18383956
Zimbabwe,0,0,0,0,14862927
